model,tourType,variable,alternative,units,latentClass,value
modeChoice,mandatory,shortWalkDist,car,util/sec,univ,0
modeChoice,mandatory,shortWalkDist,car,util/sec,school,0
modeChoice,mandatory,shortWalkDist,car,util/sec,escort,0
modeChoice,mandatory,shortWalkDist,car,util/sec,shopping,0
modeChoice,mandatory,shortWalkDist,car,util/sec,eatout,0
modeChoice,mandatory,shortWalkDist,car,util/sec,othmaint,0
modeChoice,mandatory,shortWalkDist,car,util/sec,social,0
modeChoice,mandatory,shortWalkDist,car,util/sec,othdiscr,0
modeChoice,mandatory,shortWalkDist,car,util/sec,atwork,0
modeChoice,mandatory,shortWalkDist,car,util/sec,Nonwork,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,work,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,Work,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,univ,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,school,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,escort,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,shopping,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,eatout,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,othmaint,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,social,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,othdiscr,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,atwork,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,Nonwork,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,work,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,Work,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,univ,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,school,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,escort,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,shopping,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,eatout,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,othmaint,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,social,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,othdiscr,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,atwork,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,Nonwork,0
modeChoice,mandatory,shortWalkDist,walk,util/sec,work,-0.88
modeChoice,mandatory,shortWalkDist,walk,util/sec,Work,-0.88
modeChoice,mandatory,shortWalkDist,walk,util/sec,univ,-1.084
modeChoice,mandatory,shortWalkDist,walk,util/sec,school,-1.084
modeChoice,mandatory,shortWalkDist,walk,util/sec,escort,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,shopping,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,eatout,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,othmaint,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,social,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,othdiscr,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,atwork,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,Nonwork,-1.116
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,work,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,Work,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,univ,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,school,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,escort,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,shopping,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,eatout,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,othmaint,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,social,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,othdiscr,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,atwork,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,Nonwork,0
modeChoice,mandatory,longWalkDist,bike,util/sec,work,0
modeChoice,mandatory,longWalkDist,bike,util/sec,Work,0
modeChoice,mandatory,longWalkDist,bike,util/sec,univ,0
modeChoice,mandatory,longWalkDist,bike,util/sec,school,0
modeChoice,mandatory,longWalkDist,bike,util/sec,escort,0
modeChoice,mandatory,longWalkDist,bike,util/sec,shopping,0
modeChoice,mandatory,longWalkDist,bike,util/sec,eatout,0
modeChoice,mandatory,longWalkDist,bike,util/sec,othmaint,0
modeChoice,mandatory,longWalkDist,bike,util/sec,social,0
modeChoice,mandatory,longWalkDist,bike,util/sec,othdiscr,0
modeChoice,mandatory,longWalkDist,bike,util/sec,atwork,0
modeChoice,mandatory,longWalkDist,bike,util/sec,Nonwork,0
modeChoice,mandatory,longWalkDist,car,util/sec,work,0
modeChoice,mandatory,longWalkDist,car,util/sec,Work,0
modeChoice,mandatory,longWalkDist,car,util/sec,univ,0
modeChoice,mandatory,longWalkDist,car,util/sec,school,0
modeChoice,mandatory,longWalkDist,car,util/sec,escort,0
modeChoice,mandatory,longWalkDist,car,util/sec,shopping,0
modeChoice,mandatory,longWalkDist,car,util/sec,eatout,0
modeChoice,mandatory,longWalkDist,car,util/sec,othmaint,0
modeChoice,mandatory,longWalkDist,car,util/sec,social,0
modeChoice,mandatory,longWalkDist,car,util/sec,othdiscr,0
modeChoice,mandatory,longWalkDist,car,util/sec,atwork,0
modeChoice,mandatory,longWalkDist,car,util/sec,Nonwork,0
modeChoice,mandatory,longWalkDist,drive_transit,util/sec,work,0
modeChoice,mandatory,longWalkDist,drive_transit,util/sec,Work,0
modeChoice,mandatory,longWalkDist,drive_transit,util/sec,univ,0
modeChoice,mandatory,longWalkDist,drive_transit,util/sec,school,0
modeChoice,mandatory,longWalkDist,drive_transit,util/sec,escort,0
modeChoice,mandatory,longWalkDist,drive_transit,util/sec,shopping,0
modeChoice,mandatory,longWalkDist,drive_transit,util/sec,eatout,0
modeChoice,mandatory,longWalkDist,drive_transit,util/sec,othmaint,0
modeChoice,mandatory,longWalkDist,drive_transit,util/sec,social,0
modeChoice,mandatory,longWalkDist,drive_transit,util/sec,othdiscr,0
modeChoice,mandatory,longWalkDist,drive_transit,util/sec,atwork,0
modeChoice,mandatory,longWalkDist,drive_transit,util/sec,Nonwork,0
modeChoice,mandatory,longWalkDist,ride_hail,util/sec,work,0
modeChoice,mandatory,longWalkDist,ride_hail,util/sec,Work,0
modeChoice,mandatory,longWalkDist,ride_hail,util/sec,univ,0
modeChoice,mandatory,longWalkDist,ride_hail,util/sec,school,0
modeChoice,mandatory,longWalkDist,ride_hail,util/sec,escort,0
modeChoice,mandatory,longWalkDist,ride_hail,util/sec,shopping,0
modeChoice,mandatory,longWalkDist,ride_hail,util/sec,eatout,0
modeChoice,mandatory,longWalkDist,ride_hail,util/sec,othmaint,0
modeChoice,mandatory,longWalkDist,ride_hail,util/sec,social,0
modeChoice,mandatory,longWalkDist,ride_hail,util/sec,othdiscr,0
modeChoice,mandatory,longWalkDist,ride_hail,util/sec,atwork,0
modeChoice,mandatory,longWalkDist,ride_hail,util/sec,Nonwork,0
modeChoice,mandatory,longWalkDist,walk,util/sec,work,-4.4
modeChoice,mandatory,longWalkDist,walk,util/sec,Work,-4.4
modeChoice,mandatory,longWalkDist,walk,util/sec,univ,-5.42
modeChoice,mandatory,longWalkDist,walk,util/sec,school,-5.42
modeChoice,mandatory,longWalkDist,walk,util/sec,escort,-5.58
modeChoice,mandatory,longWalkDist,walk,util/sec,shopping,-5.58
modeChoice,mandatory,longWalkDist,walk,util/sec,eatout,-5.58
modeChoice,mandatory,longWalkDist,walk,util/sec,othmaint,-5.58
modeChoice,mandatory,longWalkDist,walk,util/sec,social,-5.58
modeChoice,mandatory,longWalkDist,walk,util/sec,othdiscr,-5.58
modeChoice,mandatory,longWalkDist,walk,util/sec,atwork,-5.58
modeChoice,mandatory,longWalkDist,walk,util/sec,Nonwork,-5.58
modeChoice,mandatory,longWalkDist,walk_transit,util/sec,work,0
modeChoice,mandatory,longWalkDist,walk_transit,util/sec,Work,0
modeChoice,mandatory,longWalkDist,walk_transit,util/sec,univ,0
modeChoice,mandatory,longWalkDist,walk_transit,util/sec,school,0
modeChoice,mandatory,longWalkDist,walk_transit,util/sec,escort,0
modeChoice,mandatory,longWalkDist,walk_transit,util/sec,shopping,0
modeChoice,mandatory,longWalkDist,walk_transit,util/sec,eatout,0
modeChoice,mandatory,longWalkDist,walk_transit,util/sec,othmaint,0
modeChoice,mandatory,longWalkDist,walk_transit,util/sec,social,0
modeChoice,mandatory,longWalkDist,walk_transit,util/sec,othdiscr,0
modeChoice,mandatory,longWalkDist,walk_transit,util/sec,atwork,0
modeChoice,mandatory,longWalkDist,walk_transit,util/sec,Nonwork,0
modeChoice,mandatory,shortBikeDist,bike,util/sec,work,-0.44
modeChoice,mandatory,shortBikeDist,bike,util/sec,Work,-0.44
modeChoice,mandatory,shortBikeDist,bike,util/sec,univ,-0.542
modeChoice,mandatory,shortBikeDist,bike,util/sec,school,-0.542
modeChoice,mandatory,shortBikeDist,bike,util/sec,escort,-0.558
modeChoice,mandatory,shortBikeDist,bike,util/sec,shopping,-0.558
modeChoice,mandatory,shortBikeDist,bike,util/sec,eatout,-0.558
modeChoice,mandatory,shortBikeDist,bike,util/sec,othmaint,-0.558
modeChoice,mandatory,shortBikeDist,bike,util/sec,social,-0.558
modeChoice,mandatory,shortBikeDist,bike,util/sec,othdiscr,-0.558
modeChoice,mandatory,shortBikeDist,bike,util/sec,atwork,-0.558
modeChoice,mandatory,shortBikeDist,bike,util/sec,Nonwork,-0.558
modeChoice,mandatory,shortBikeDist,car,util/sec,work,0
modeChoice,mandatory,shortBikeDist,car,util/sec,Work,0
modeChoice,mandatory,shortBikeDist,car,util/sec,univ,0
modeChoice,mandatory,shortBikeDist,car,util/sec,school,0
modeChoice,mandatory,shortBikeDist,car,util/sec,escort,0
modeChoice,mandatory,shortBikeDist,car,util/sec,shopping,0
modeChoice,mandatory,shortBikeDist,car,util/sec,eatout,0
modeChoice,mandatory,shortBikeDist,car,util/sec,othmaint,0
modeChoice,mandatory,shortBikeDist,car,util/sec,social,0
modeChoice,mandatory,shortBikeDist,car,util/sec,othdiscr,0
modeChoice,mandatory,shortBikeDist,car,util/sec,atwork,0
modeChoice,mandatory,shortBikeDist,car,util/sec,Nonwork,0
modeChoice,mandatory,shortBikeDist,drive_transit,util/sec,work,0
modeChoice,mandatory,shortBikeDist,drive_transit,util/sec,Work,0
modeChoice,mandatory,shortBikeDist,drive_transit,util/sec,univ,0
modeChoice,mandatory,shortBikeDist,drive_transit,util/sec,school,0
modeChoice,mandatory,shortBikeDist,drive_transit,util/sec,escort,0
modeChoice,mandatory,shortBikeDist,drive_transit,util/sec,shopping,0
modeChoice,mandatory,shortBikeDist,drive_transit,util/sec,eatout,0
modeChoice,mandatory,shortBikeDist,drive_transit,util/sec,othmaint,0
modeChoice,mandatory,shortBikeDist,drive_transit,util/sec,social,0
modeChoice,mandatory,shortBikeDist,drive_transit,util/sec,othdiscr,0
modeChoice,mandatory,shortBikeDist,drive_transit,util/sec,atwork,0
modeChoice,mandatory,shortBikeDist,drive_transit,util/sec,Nonwork,0
modeChoice,mandatory,shortBikeDist,ride_hail,util/sec,work,0
modeChoice,mandatory,shortBikeDist,ride_hail,util/sec,Work,0
modeChoice,mandatory,shortBikeDist,ride_hail,util/sec,univ,0
modeChoice,mandatory,shortBikeDist,ride_hail,util/sec,school,0
modeChoice,mandatory,shortBikeDist,ride_hail,util/sec,escort,0
modeChoice,mandatory,shortBikeDist,ride_hail,util/sec,shopping,0
modeChoice,mandatory,shortBikeDist,ride_hail,util/sec,eatout,0
modeChoice,mandatory,shortBikeDist,ride_hail,util/sec,othmaint,0
modeChoice,mandatory,shortBikeDist,ride_hail,util/sec,social,0
modeChoice,mandatory,shortBikeDist,ride_hail,util/sec,othdiscr,0
modeChoice,mandatory,shortBikeDist,ride_hail,util/sec,atwork,0
modeChoice,mandatory,shortBikeDist,ride_hail,util/sec,Nonwork,0
modeChoice,mandatory,shortBikeDist,walk,util/sec,work,0
modeChoice,mandatory,shortBikeDist,walk,util/sec,Work,0
modeChoice,mandatory,shortBikeDist,walk,util/sec,univ,0
modeChoice,mandatory,shortBikeDist,walk,util/sec,school,0
modeChoice,mandatory,shortBikeDist,walk,util/sec,escort,0
modeChoice,mandatory,shortBikeDist,walk,util/sec,shopping,0
modeChoice,mandatory,shortBikeDist,walk,util/sec,eatout,0
modeChoice,mandatory,shortBikeDist,walk,util/sec,othmaint,0
modeChoice,mandatory,shortBikeDist,walk,util/sec,social,0
modeChoice,mandatory,shortBikeDist,walk,util/sec,othdiscr,0
modeChoice,mandatory,shortBikeDist,walk,util/sec,atwork,0
modeChoice,mandatory,shortBikeDist,walk,util/sec,Nonwork,0
modeChoice,mandatory,shortBikeDist,walk_transit,util/sec,work,0
modeChoice,mandatory,shortBikeDist,walk_transit,util/sec,Work,0
modeChoice,mandatory,shortBikeDist,walk_transit,util/sec,univ,0
modeChoice,mandatory,shortBikeDist,walk_transit,util/sec,school,0
modeChoice,mandatory,shortBikeDist,walk_transit,util/sec,escort,0
modeChoice,mandatory,shortBikeDist,walk_transit,util/sec,shopping,0
modeChoice,mandatory,shortBikeDist,walk_transit,util/sec,eatout,0
modeChoice,mandatory,shortBikeDist,walk_transit,util/sec,othmaint,0
modeChoice,mandatory,shortBikeDist,walk_transit,util/sec,social,0
modeChoice,mandatory,shortBikeDist,walk_transit,util/sec,othdiscr,0
modeChoice,mandatory,shortBikeDist,walk_transit,util/sec,atwork,0
modeChoice,mandatory,shortBikeDist,walk_transit,util/sec,Nonwork,0
modeChoice,mandatory,longBikeDist,bike,util/sec,work,-2.2
modeChoice,mandatory,longBikeDist,bike,util/sec,Work,-2.2
modeChoice,mandatory,longBikeDist,bike,util/sec,univ,-2.71
modeChoice,mandatory,longBikeDist,bike,util/sec,school,-2.71
modeChoice,mandatory,longBikeDist,bike,util/sec,escort,-2.79
modeChoice,mandatory,longBikeDist,bike,util/sec,shopping,-2.79
modeChoice,mandatory,longBikeDist,bike,util/sec,eatout,-2.79
modeChoice,mandatory,longBikeDist,bike,util/sec,othmaint,-2.79
modeChoice,mandatory,longBikeDist,bike,util/sec,social,-2.79
modeChoice,mandatory,longBikeDist,bike,util/sec,othdiscr,-2.79
modeChoice,mandatory,longBikeDist,bike,util/sec,atwork,-2.79
modeChoice,mandatory,longBikeDist,bike,util/sec,Nonwork,-2.79
modeChoice,mandatory,longBikeDist,car,util/sec,work,0
modeChoice,mandatory,longBikeDist,car,util/sec,Work,0
modeChoice,mandatory,longBikeDist,car,util/sec,univ,0
modeChoice,mandatory,longBikeDist,car,util/sec,school,0
modeChoice,mandatory,longBikeDist,car,util/sec,escort,0
modeChoice,mandatory,longBikeDist,car,util/sec,shopping,0
modeChoice,mandatory,longBikeDist,car,util/sec,eatout,0
modeChoice,mandatory,longBikeDist,car,util/sec,othmaint,0
modeChoice,mandatory,longBikeDist,car,util/sec,social,0
modeChoice,mandatory,longBikeDist,car,util/sec,othdiscr,0
modeChoice,mandatory,longBikeDist,car,util/sec,atwork,0
modeChoice,mandatory,longBikeDist,car,util/sec,Nonwork,0
modeChoice,mandatory,longBikeDist,drive_transit,util/sec,work,0
modeChoice,mandatory,longBikeDist,drive_transit,util/sec,Work,0
modeChoice,mandatory,longBikeDist,drive_transit,util/sec,univ,0
modeChoice,mandatory,longBikeDist,drive_transit,util/sec,school,0
modeChoice,mandatory,longBikeDist,drive_transit,util/sec,escort,0
modeChoice,mandatory,longBikeDist,drive_transit,util/sec,shopping,0
modeChoice,mandatory,longBikeDist,drive_transit,util/sec,eatout,0
modeChoice,mandatory,longBikeDist,drive_transit,util/sec,othmaint,0
modeChoice,mandatory,longBikeDist,drive_transit,util/sec,social,0
modeChoice,mandatory,longBikeDist,drive_transit,util/sec,othdiscr,0
modeChoice,mandatory,longBikeDist,drive_transit,util/sec,atwork,0
modeChoice,mandatory,longBikeDist,drive_transit,util/sec,Nonwork,0
modeChoice,mandatory,longBikeDist,ride_hail,util/sec,work,0
modeChoice,mandatory,longBikeDist,ride_hail,util/sec,Work,0
modeChoice,mandatory,longBikeDist,ride_hail,util/sec,univ,0
modeChoice,mandatory,longBikeDist,ride_hail,util/sec,school,0
modeChoice,mandatory,longBikeDist,ride_hail,util/sec,escort,0
modeChoice,mandatory,longBikeDist,ride_hail,util/sec,shopping,0
modeChoice,mandatory,longBikeDist,ride_hail,util/sec,eatout,0
modeChoice,mandatory,longBikeDist,ride_hail,util/sec,othmaint,0
modeChoice,mandatory,longBikeDist,ride_hail,util/sec,social,0
modeChoice,mandatory,longBikeDist,ride_hail,util/sec,othdiscr,0
modeChoice,mandatory,longBikeDist,ride_hail,util/sec,atwork,0
modeChoice,mandatory,longBikeDist,ride_hail,util/sec,Nonwork,0
modeChoice,mandatory,longBikeDist,walk,util/sec,work,0
modeChoice,mandatory,longBikeDist,walk,util/sec,Work,0
modeChoice,mandatory,longBikeDist,walk,util/sec,univ,0
modeChoice,mandatory,longBikeDist,walk,util/sec,school,0
modeChoice,mandatory,longBikeDist,walk,util/sec,escort,0
modeChoice,mandatory,longBikeDist,walk,util/sec,shopping,0
modeChoice,mandatory,longBikeDist,walk,util/sec,eatout,0
modeChoice,mandatory,longBikeDist,walk,util/sec,othmaint,0
modeChoice,mandatory,longBikeDist,walk,util/sec,social,0
modeChoice,mandatory,longBikeDist,walk,util/sec,othdiscr,0
modeChoice,mandatory,longBikeDist,walk,util/sec,atwork,0
modeChoice,mandatory,longBikeDist,walk,util/sec,Nonwork,0
modeChoice,mandatory,longBikeDist,walk_transit,util/sec,work,0
modeChoice,mandatory,longBikeDist,walk_transit,util/sec,Work,0
modeChoice,mandatory,longBikeDist,walk_transit,util/sec,univ,0
modeChoice,mandatory,longBikeDist,walk_transit,util/sec,school,0
modeChoice,mandatory,longBikeDist,walk_transit,util/sec,escort,0
modeChoice,mandatory,longBikeDist,walk_transit,util/sec,shopping,0
modeChoice,mandatory,longBikeDist,walk_transit,util/sec,eatout,0
modeChoice,mandatory,longBikeDist,walk_transit,util/sec,othmaint,0
modeChoice,mandatory,longBikeDist,walk_transit,util/sec,social,0
modeChoice,mandatory,longBikeDist,walk_transit,util/sec,othdiscr,0
modeChoice,mandatory,longBikeDist,walk_transit,util/sec,atwork,0
modeChoice,mandatory,longBikeDist,walk_transit,util/sec,Nonwork,0
modeChoice,mandatory,egressTime,bike,util/sec,work,0
modeChoice,mandatory,egressTime,bike,util/sec,Work,0
modeChoice,mandatory,egressTime,bike,util/sec,univ,0
modeChoice,mandatory,egressTime,bike,util/sec,school,0
modeChoice,mandatory,egressTime,bike,util/sec,escort,0
modeChoice,mandatory,egressTime,bike,util/sec,shopping,0
modeChoice,mandatory,egressTime,bike,util/sec,eatout,0
modeChoice,mandatory,egressTime,bike,util/sec,othmaint,0
modeChoice,mandatory,egressTime,bike,util/sec,social,0
modeChoice,mandatory,egressTime,bike,util/sec,othdiscr,0
modeChoice,mandatory,egressTime,bike,util/sec,atwork,0
modeChoice,mandatory,egressTime,bike,util/sec,Nonwork,0
modeChoice,mandatory,egressTime,car,util/sec,work,0
modeChoice,mandatory,egressTime,car,util/sec,Work,0
modeChoice,mandatory,egressTime,car,util/sec,univ,0
modeChoice,mandatory,egressTime,car,util/sec,school,0
modeChoice,mandatory,egressTime,car,util/sec,escort,0
modeChoice,mandatory,egressTime,car,util/sec,shopping,0
modeChoice,mandatory,egressTime,car,util/sec,eatout,0
modeChoice,mandatory,egressTime,car,util/sec,othmaint,0
modeChoice,mandatory,egressTime,car,util/sec,social,0
modeChoice,mandatory,egressTime,car,util/sec,othdiscr,0
modeChoice,mandatory,egressTime,car,util/sec,atwork,0
modeChoice,mandatory,egressTime,car,util/sec,Nonwork,0
modeChoice,mandatory,egressTime,drive_transit,util/sec,work,-0.044
modeChoice,mandatory,egressTime,drive_transit,util/sec,Work,-0.044
modeChoice,mandatory,egressTime,drive_transit,util/sec,univ,-0.054
modeChoice,mandatory,egressTime,drive_transit,util/sec,school,-0.054
modeChoice,mandatory,egressTime,drive_transit,util/sec,escort,-0.056
modeChoice,mandatory,egressTime,drive_transit,util/sec,shopping,-0.056
modeChoice,mandatory,egressTime,drive_transit,util/sec,eatout,-0.056
modeChoice,mandatory,egressTime,drive_transit,util/sec,othmaint,-0.056
modeChoice,mandatory,egressTime,drive_transit,util/sec,social,-0.056
modeChoice,mandatory,egressTime,drive_transit,util/sec,othdiscr,-0.056
modeChoice,mandatory,egressTime,drive_transit,util/sec,atwork,-0.056
modeChoice,mandatory,egressTime,drive_transit,util/sec,Nonwork,-0.056
modeChoice,mandatory,egressTime,ride_hail,util/sec,work,0
modeChoice,mandatory,egressTime,ride_hail,util/sec,Work,0
modeChoice,mandatory,egressTime,ride_hail,util/sec,univ,0
modeChoice,mandatory,egressTime,ride_hail,util/sec,school,0
modeChoice,mandatory,egressTime,ride_hail,util/sec,escort,0
modeChoice,mandatory,egressTime,ride_hail,util/sec,shopping,0
modeChoice,mandatory,egressTime,ride_hail,util/sec,eatout,0
modeChoice,mandatory,egressTime,ride_hail,util/sec,othmaint,0
modeChoice,mandatory,egressTime,ride_hail,util/sec,social,0
modeChoice,mandatory,egressTime,ride_hail,util/sec,othdiscr,0
modeChoice,mandatory,egressTime,ride_hail,util/sec,atwork,0
modeChoice,mandatory,egressTime,ride_hail,util/sec,Nonwork,0
modeChoice,mandatory,egressTime,walk,util/sec,work,0
modeChoice,mandatory,egressTime,walk,util/sec,Work,0
modeChoice,mandatory,egressTime,walk,util/sec,univ,0
modeChoice,mandatory,egressTime,walk,util/sec,school,0
modeChoice,mandatory,egressTime,walk,util/sec,escort,0
modeChoice,mandatory,egressTime,walk,util/sec,shopping,0
modeChoice,mandatory,egressTime,walk,util/sec,eatout,0
modeChoice,mandatory,egressTime,walk,util/sec,othmaint,0
modeChoice,mandatory,egressTime,walk,util/sec,social,0
modeChoice,mandatory,egressTime,walk,util/sec,othdiscr,0
modeChoice,mandatory,egressTime,walk,util/sec,atwork,0
modeChoice,mandatory,egressTime,walk,util/sec,Nonwork,0
modeChoice,mandatory,egressTime,walk_transit,util/sec,work,0
modeChoice,mandatory,egressTime,walk_transit,util/sec,Work,0
modeChoice,mandatory,egressTime,walk_transit,util/sec,univ,0
modeChoice,mandatory,egressTime,walk_transit,util/sec,school,0
modeChoice,mandatory,egressTime,walk_transit,util/sec,escort,0
modeChoice,mandatory,egressTime,walk_transit,util/sec,shopping,0
modeChoice,mandatory,egressTime,walk_transit,util/sec,eatout,0
modeChoice,mandatory,egressTime,walk_transit,util/sec,othmaint,0
modeChoice,mandatory,egressTime,walk_transit,util/sec,social,0
modeChoice,mandatory,egressTime,walk_transit,util/sec,othdiscr,0
modeChoice,mandatory,egressTime,walk_transit,util/sec,atwork,0
modeChoice,mandatory,egressTime,walk_transit,util/sec,Nonwork,0
