model,variableType,variable,alternative,units,latentClass,value
modeChoice,Path,vehicleTime,bike,util/sec,work,0
modeChoice,Path,vehicleTime,bike,util/sec,Work,0
modeChoice,Path,vehicleTime,bike,util/sec,univ,0
modeChoice,Path,vehicleTime,bike,util/sec,school,0
modeChoice,Path,vehicleTime,bike,util/sec,escort,0
modeChoice,Path,vehicleTime,bike,util/sec,shopping,0
modeChoice,Path,vehicleTime,bike,util/sec,eatout,0
modeChoice,Path,vehicleTime,bike,util/sec,othmaint,0
modeChoice,Path,vehicleTime,bike,util/sec,social,0
modeChoice,Path,vehicleTime,bike,util/sec,othdiscr,0
modeChoice,Path,vehicleTime,bike,util/sec,atwork,0
modeChoice,Path,vehicleTime,bike,util/sec,Nonwork,0
modeChoice,Path,vehicleTime,car,util/sec,work,-0.022
modeChoice,Path,vehicleTime,car,util/sec,Work,-0.022
modeChoice,Path,vehicleTime,car,util/sec,univ,-0.027
modeChoice,Path,vehicleTime,car,util/sec,school,-0.027
modeChoice,Path,vehicleTime,car,util/sec,escort,-0.028
modeChoice,Path,vehicleTime,car,util/sec,shopping,-0.028
modeChoice,Path,vehicleTime,car,util/sec,eatout,-0.028
modeChoice,Path,vehicleTime,car,util/sec,othmaint,-0.028
modeChoice,Path,vehicleTime,car,util/sec,social,-0.028
modeChoice,Path,vehicleTime,car,util/sec,othdiscr,-0.028
modeChoice,Path,vehicleTime,car,util/sec,atwork,-0.028
modeChoice,Path,vehicleTime,car,util/sec,Nonwork,-0.028
modeChoice,Path,vehicleTime,drive_transit,util/sec,work,-0.022
modeChoice,Path,vehicleTime,drive_transit,util/sec,Work,-0.022
modeChoice,Path,vehicleTime,drive_transit,util/sec,univ,-0.027
modeChoice,Path,vehicleTime,drive_transit,util/sec,school,-0.027
modeChoice,Path,vehicleTime,drive_transit,util/sec,escort,-0.028
modeChoice,Path,vehicleTime,drive_transit,util/sec,shopping,-0.028
modeChoice,Path,vehicleTime,drive_transit,util/sec,eatout,-0.028
modeChoice,Path,vehicleTime,drive_transit,util/sec,othmaint,-0.028
modeChoice,Path,vehicleTime,drive_transit,util/sec,social,-0.028
modeChoice,Path,vehicleTime,drive_transit,util/sec,othdiscr,-0.028
modeChoice,Path,vehicleTime,drive_transit,util/sec,atwork,-0.028
modeChoice,Path,vehicleTime,drive_transit,util/sec,Nonwork,-0.028
modeChoice,Path,vehicleTime,ride_hail,util/sec,work,-0.022
modeChoice,Path,vehicleTime,ride_hail,util/sec,Work,-0.022
modeChoice,Path,vehicleTime,ride_hail,util/sec,univ,-0.027
modeChoice,Path,vehicleTime,ride_hail,util/sec,school,-0.027
modeChoice,Path,vehicleTime,ride_hail,util/sec,escort,-0.028
modeChoice,Path,vehicleTime,ride_hail,util/sec,shopping,-0.028
modeChoice,Path,vehicleTime,ride_hail,util/sec,eatout,-0.028
modeChoice,Path,vehicleTime,ride_hail,util/sec,othmaint,-0.028
modeChoice,Path,vehicleTime,ride_hail,util/sec,social,-0.028
modeChoice,Path,vehicleTime,ride_hail,util/sec,othdiscr,-0.028
modeChoice,Path,vehicleTime,ride_hail,util/sec,atwork,-0.028
modeChoice,Path,vehicleTime,ride_hail,util/sec,Nonwork,-0.028
modeChoice,Path,vehicleTime,walk,util/sec,work,0
modeChoice,Path,vehicleTime,walk,util/sec,Work,0
modeChoice,Path,vehicleTime,walk,util/sec,univ,0
modeChoice,Path,vehicleTime,walk,util/sec,school,0
modeChoice,Path,vehicleTime,walk,util/sec,escort,0
modeChoice,Path,vehicleTime,walk,util/sec,shopping,0
modeChoice,Path,vehicleTime,walk,util/sec,eatout,0
modeChoice,Path,vehicleTime,walk,util/sec,othmaint,0
modeChoice,Path,vehicleTime,walk,util/sec,social,0
modeChoice,Path,vehicleTime,walk,util/sec,othdiscr,0
modeChoice,Path,vehicleTime,walk,util/sec,atwork,0
modeChoice,Path,vehicleTime,walk,util/sec,Nonwork,0
modeChoice,Path,vehicleTime,walk_transit,util/sec,work,-0.022
modeChoice,Path,vehicleTime,walk_transit,util/sec,Work,-0.022
modeChoice,Path,vehicleTime,walk_transit,util/sec,univ,-0.027
modeChoice,Path,vehicleTime,walk_transit,util/sec,school,-0.027
modeChoice,Path,vehicleTime,walk_transit,util/sec,escort,-0.028
modeChoice,Path,vehicleTime,walk_transit,util/sec,shopping,-0.028
modeChoice,Path,vehicleTime,walk_transit,util/sec,eatout,-0.028
modeChoice,Path,vehicleTime,walk_transit,util/sec,othmaint,-0.028
modeChoice,Path,vehicleTime,walk_transit,util/sec,social,-0.028
modeChoice,Path,vehicleTime,walk_transit,util/sec,othdiscr,-0.028
modeChoice,Path,vehicleTime,walk_transit,util/sec,atwork,-0.028
modeChoice,Path,vehicleTime,walk_transit,util/sec,Nonwork,-0.028
modeChoice,Path,waitTime,bike,util/sec,work,0
modeChoice,Path,waitTime,bike,util/sec,Work,0
modeChoice,Path,waitTime,bike,util/sec,univ,0
modeChoice,Path,waitTime,bike,util/sec,school,0
modeChoice,Path,waitTime,bike,util/sec,escort,0
modeChoice,Path,waitTime,bike,util/sec,shopping,0
modeChoice,Path,waitTime,bike,util/sec,eatout,0
modeChoice,Path,waitTime,bike,util/sec,othmaint,0
modeChoice,Path,waitTime,bike,util/sec,social,0
modeChoice,Path,waitTime,bike,util/sec,othdiscr,0
modeChoice,Path,waitTime,bike,util/sec,atwork,0
modeChoice,Path,waitTime,bike,util/sec,Nonwork,0
modeChoice,Path,waitTime,car,util/sec,work,0
modeChoice,Path,waitTime,car,util/sec,Work,0
modeChoice,Path,waitTime,car,util/sec,univ,0
modeChoice,Path,waitTime,car,util/sec,school,0
modeChoice,Path,waitTime,car,util/sec,escort,0
modeChoice,Path,waitTime,car,util/sec,shopping,0
modeChoice,Path,waitTime,car,util/sec,eatout,0
modeChoice,Path,waitTime,car,util/sec,othmaint,0
modeChoice,Path,waitTime,car,util/sec,social,0
modeChoice,Path,waitTime,car,util/sec,othdiscr,0
modeChoice,Path,waitTime,car,util/sec,atwork,0
modeChoice,Path,waitTime,car,util/sec,Nonwork,0
modeChoice,Path,waitTime,drive_transit,util/sec,work,-0.044
modeChoice,Path,waitTime,drive_transit,util/sec,Work,-0.044
modeChoice,Path,waitTime,drive_transit,util/sec,univ,-0.054
modeChoice,Path,waitTime,drive_transit,util/sec,school,-0.054
modeChoice,Path,waitTime,drive_transit,util/sec,escort,-0.056
modeChoice,Path,waitTime,drive_transit,util/sec,shopping,-0.056
modeChoice,Path,waitTime,drive_transit,util/sec,eatout,-0.056
modeChoice,Path,waitTime,drive_transit,util/sec,othmaint,-0.056
modeChoice,Path,waitTime,drive_transit,util/sec,social,-0.056
modeChoice,Path,waitTime,drive_transit,util/sec,othdiscr,-0.056
modeChoice,Path,waitTime,drive_transit,util/sec,atwork,-0.056
modeChoice,Path,waitTime,drive_transit,util/sec,Nonwork,-0.056
modeChoice,Path,waitTime,ride_hail,util/sec,work,-0.044
modeChoice,Path,waitTime,ride_hail,util/sec,Work,-0.044
modeChoice,Path,waitTime,ride_hail,util/sec,univ,-0.054
modeChoice,Path,waitTime,ride_hail,util/sec,school,-0.054
modeChoice,Path,waitTime,ride_hail,util/sec,escort,-0.056
modeChoice,Path,waitTime,ride_hail,util/sec,shopping,-0.056
modeChoice,Path,waitTime,ride_hail,util/sec,eatout,-0.056
modeChoice,Path,waitTime,ride_hail,util/sec,othmaint,-0.056
modeChoice,Path,waitTime,ride_hail,util/sec,social,-0.056
modeChoice,Path,waitTime,ride_hail,util/sec,othdiscr,-0.056
modeChoice,Path,waitTime,ride_hail,util/sec,atwork,-0.056
modeChoice,Path,waitTime,ride_hail,util/sec,Nonwork,-0.056
modeChoice,Path,waitTime,walk,util/sec,work,0
modeChoice,Path,waitTime,walk,util/sec,Work,0
modeChoice,Path,waitTime,walk,util/sec,univ,0
modeChoice,Path,waitTime,walk,util/sec,school,0
modeChoice,Path,waitTime,walk,util/sec,escort,0
modeChoice,Path,waitTime,walk,util/sec,shopping,0
modeChoice,Path,waitTime,walk,util/sec,eatout,0
modeChoice,Path,waitTime,walk,util/sec,othmaint,0
modeChoice,Path,waitTime,walk,util/sec,social,0
modeChoice,Path,waitTime,walk,util/sec,othdiscr,0
modeChoice,Path,waitTime,walk,util/sec,atwork,0
modeChoice,Path,waitTime,walk,util/sec,Nonwork,0
modeChoice,Path,waitTime,walk_transit,util/sec,work,-0.044
modeChoice,Path,waitTime,walk_transit,util/sec,Work,-0.044
modeChoice,Path,waitTime,walk_transit,util/sec,univ,-0.054
modeChoice,Path,waitTime,walk_transit,util/sec,school,-0.054
modeChoice,Path,waitTime,walk_transit,util/sec,escort,-0.056
modeChoice,Path,waitTime,walk_transit,util/sec,shopping,-0.056
modeChoice,Path,waitTime,walk_transit,util/sec,eatout,-0.056
modeChoice,Path,waitTime,walk_transit,util/sec,othmaint,-0.056
modeChoice,Path,waitTime,walk_transit,util/sec,social,-0.056
modeChoice,Path,waitTime,walk_transit,util/sec,othdiscr,-0.056
modeChoice,Path,waitTime,walk_transit,util/sec,atwork,-0.056
modeChoice,Path,waitTime,walk_transit,util/sec,Nonwork,-0.056
modeChoice,Path,transfer,bike,util/sec,work,0
modeChoice,Path,transfer,bike,util/sec,Work,0
modeChoice,Path,transfer,bike,util/sec,univ,0
modeChoice,Path,transfer,bike,util/sec,school,0
modeChoice,Path,transfer,bike,util/sec,escort,0
modeChoice,Path,transfer,bike,util/sec,shopping,0
modeChoice,Path,transfer,bike,util/sec,eatout,0
modeChoice,Path,transfer,bike,util/sec,othmaint,0
modeChoice,Path,transfer,bike,util/sec,social,0
modeChoice,Path,transfer,bike,util/sec,othdiscr,0
modeChoice,Path,transfer,bike,util/sec,atwork,0
modeChoice,Path,transfer,bike,util/sec,Nonwork,0
modeChoice,Path,transfer,car,util/sec,work,0
modeChoice,Path,transfer,car,util/sec,Work,0
modeChoice,Path,transfer,car,util/sec,univ,0
modeChoice,Path,transfer,car,util/sec,school,0
modeChoice,Path,transfer,car,util/sec,escort,0
modeChoice,Path,transfer,car,util/sec,shopping,0
modeChoice,Path,transfer,car,util/sec,eatout,0
modeChoice,Path,transfer,car,util/sec,othmaint,0
modeChoice,Path,transfer,car,util/sec,social,0
modeChoice,Path,transfer,car,util/sec,othdiscr,0
modeChoice,Path,transfer,car,util/sec,atwork,0
modeChoice,Path,transfer,car,util/sec,Nonwork,0
modeChoice,Path,transfer,drive_transit,util/sec,work,-0.33
modeChoice,Path,transfer,drive_transit,util/sec,Work,-0.33
modeChoice,Path,transfer,drive_transit,util/sec,univ,-0.407
modeChoice,Path,transfer,drive_transit,util/sec,school,-0.407
modeChoice,Path,transfer,drive_transit,util/sec,escort,-0.419
modeChoice,Path,transfer,drive_transit,util/sec,shopping,-0.419
modeChoice,Path,transfer,drive_transit,util/sec,eatout,-0.419
modeChoice,Path,transfer,drive_transit,util/sec,othmaint,-0.419
modeChoice,Path,transfer,drive_transit,util/sec,social,-0.419
modeChoice,Path,transfer,drive_transit,util/sec,othdiscr,-0.419
modeChoice,Path,transfer,drive_transit,util/sec,atwork,-0.419
modeChoice,Path,transfer,drive_transit,util/sec,Nonwork,-0.419
modeChoice,Path,transfer,ride_hail,util/sec,work,0
modeChoice,Path,transfer,ride_hail,util/sec,Work,0
modeChoice,Path,transfer,ride_hail,util/sec,univ,0
modeChoice,Path,transfer,ride_hail,util/sec,school,0
modeChoice,Path,transfer,ride_hail,util/sec,escort,0
modeChoice,Path,transfer,ride_hail,util/sec,shopping,0
modeChoice,Path,transfer,ride_hail,util/sec,eatout,0
modeChoice,Path,transfer,ride_hail,util/sec,othmaint,0
modeChoice,Path,transfer,ride_hail,util/sec,social,0
modeChoice,Path,transfer,ride_hail,util/sec,othdiscr,0
modeChoice,Path,transfer,ride_hail,util/sec,atwork,0
modeChoice,Path,transfer,ride_hail,util/sec,Nonwork,0
modeChoice,Path,transfer,walk,util/sec,work,0
modeChoice,Path,transfer,walk,util/sec,Work,0
modeChoice,Path,transfer,walk,util/sec,univ,0
modeChoice,Path,transfer,walk,util/sec,school,0
modeChoice,Path,transfer,walk,util/sec,escort,0
modeChoice,Path,transfer,walk,util/sec,shopping,0
modeChoice,Path,transfer,walk,util/sec,eatout,0
modeChoice,Path,transfer,walk,util/sec,othmaint,0
modeChoice,Path,transfer,walk,util/sec,social,0
modeChoice,Path,transfer,walk,util/sec,othdiscr,0
modeChoice,Path,transfer,walk,util/sec,atwork,0
modeChoice,Path,transfer,walk,util/sec,Nonwork,0
modeChoice,Path,transfer,walk_transit,util/sec,work,-0.11
modeChoice,Path,transfer,walk_transit,util/sec,Work,-0.11
modeChoice,Path,transfer,walk_transit,util/sec,univ,-0.136
modeChoice,Path,transfer,walk_transit,util/sec,school,-0.136
modeChoice,Path,transfer,walk_transit,util/sec,escort,-0.14
modeChoice,Path,transfer,walk_transit,util/sec,shopping,-0.14
modeChoice,Path,transfer,walk_transit,util/sec,eatout,-0.14
modeChoice,Path,transfer,walk_transit,util/sec,othmaint,-0.14
modeChoice,Path,transfer,walk_transit,util/sec,social,-0.14
modeChoice,Path,transfer,walk_transit,util/sec,othdiscr,-0.14
modeChoice,Path,transfer,walk_transit,util/sec,atwork,-0.14
modeChoice,Path,transfer,walk_transit,util/sec,Nonwork,-0.14
modeChoice,Path,shortWalkDist,bike,util/sec,work,0
modeChoice,Path,shortWalkDist,bike,util/sec,Work,0
modeChoice,Path,shortWalkDist,bike,util/sec,univ,0
modeChoice,Path,shortWalkDist,bike,util/sec,school,0
modeChoice,Path,shortWalkDist,bike,util/sec,escort,0
modeChoice,Path,shortWalkDist,bike,util/sec,shopping,0
modeChoice,Path,shortWalkDist,bike,util/sec,eatout,0
modeChoice,Path,shortWalkDist,bike,util/sec,othmaint,0
modeChoice,Path,shortWalkDist,bike,util/sec,social,0
modeChoice,Path,shortWalkDist,bike,util/sec,othdiscr,0
modeChoice,Path,shortWalkDist,bike,util/sec,atwork,0
modeChoice,Path,shortWalkDist,bike,util/sec,Nonwork,0
modeChoice,Path,shortWalkDist,car,util/sec,work,0
modeChoice,Path,shortWalkDist,car,util/sec,Work,0
modeChoice,Path,shortWalkDist,car,util/sec,univ,0
modeChoice,Path,shortWalkDist,car,util/sec,school,0
modeChoice,Path,shortWalkDist,car,util/sec,escort,0
modeChoice,Path,shortWalkDist,car,util/sec,shopping,0
modeChoice,Path,shortWalkDist,car,util/sec,eatout,0
modeChoice,Path,shortWalkDist,car,util/sec,othmaint,0
modeChoice,Path,shortWalkDist,car,util/sec,social,0
modeChoice,Path,shortWalkDist,car,util/sec,othdiscr,0
modeChoice,Path,shortWalkDist,car,util/sec,atwork,0
modeChoice,Path,shortWalkDist,car,util/sec,Nonwork,0
modeChoice,Path,shortWalkDist,drive_transit,util/sec,work,0
modeChoice,Path,shortWalkDist,drive_transit,util/sec,Work,0
modeChoice,Path,shortWalkDist,drive_transit,util/sec,univ,0
modeChoice,Path,shortWalkDist,drive_transit,util/sec,school,0
modeChoice,Path,shortWalkDist,drive_transit,util/sec,escort,0
modeChoice,Path,shortWalkDist,drive_transit,util/sec,shopping,0
modeChoice,Path,shortWalkDist,drive_transit,util/sec,eatout,0
modeChoice,Path,shortWalkDist,drive_transit,util/sec,othmaint,0
modeChoice,Path,shortWalkDist,drive_transit,util/sec,social,0
modeChoice,Path,shortWalkDist,drive_transit,util/sec,othdiscr,0
modeChoice,Path,shortWalkDist,drive_transit,util/sec,atwork,0
modeChoice,Path,shortWalkDist,drive_transit,util/sec,Nonwork,0
modeChoice,Path,shortWalkDist,ride_hail,util/sec,work,0
modeChoice,Path,shortWalkDist,ride_hail,util/sec,Work,0
modeChoice,Path,shortWalkDist,ride_hail,util/sec,univ,0
modeChoice,Path,shortWalkDist,ride_hail,util/sec,school,0
modeChoice,Path,shortWalkDist,ride_hail,util/sec,escort,0
modeChoice,Path,shortWalkDist,ride_hail,util/sec,shopping,0
modeChoice,Path,shortWalkDist,ride_hail,util/sec,eatout,0
modeChoice,Path,shortWalkDist,ride_hail,util/sec,othmaint,0
modeChoice,Path,shortWalkDist,ride_hail,util/sec,social,0
modeChoice,Path,shortWalkDist,ride_hail,util/sec,othdiscr,0
modeChoice,Path,shortWalkDist,ride_hail,util/sec,atwork,0
modeChoice,Path,shortWalkDist,ride_hail,util/sec,Nonwork,0
modeChoice,Path,shortWalkDist,walk,util/sec,work,-0.88
modeChoice,Path,shortWalkDist,walk,util/sec,Work,-0.88
modeChoice,Path,shortWalkDist,walk,util/sec,univ,-1.084
modeChoice,Path,shortWalkDist,walk,util/sec,school,-1.084
modeChoice,Path,shortWalkDist,walk,util/sec,escort,-1.116
modeChoice,Path,shortWalkDist,walk,util/sec,shopping,-1.116
modeChoice,Path,shortWalkDist,walk,util/sec,eatout,-1.116
modeChoice,Path,shortWalkDist,walk,util/sec,othmaint,-1.116
modeChoice,Path,shortWalkDist,walk,util/sec,social,-1.116
modeChoice,Path,shortWalkDist,walk,util/sec,othdiscr,-1.116
modeChoice,Path,shortWalkDist,walk,util/sec,atwork,-1.116
modeChoice,Path,shortWalkDist,walk,util/sec,Nonwork,-1.116
modeChoice,Path,shortWalkDist,walk_transit,util/sec,work,0
modeChoice,Path,shortWalkDist,walk_transit,util/sec,Work,0
modeChoice,Path,shortWalkDist,walk_transit,util/sec,univ,0
modeChoice,Path,shortWalkDist,walk_transit,util/sec,school,0
modeChoice,Path,shortWalkDist,walk_transit,util/sec,escort,0
modeChoice,Path,shortWalkDist,walk_transit,util/sec,shopping,0
modeChoice,Path,shortWalkDist,walk_transit,util/sec,eatout,0
modeChoice,Path,shortWalkDist,walk_transit,util/sec,othmaint,0
modeChoice,Path,shortWalkDist,walk_transit,util/sec,social,0
modeChoice,Path,shortWalkDist,walk_transit,util/sec,othdiscr,0
modeChoice,Path,shortWalkDist,walk_transit,util/sec,atwork,0
modeChoice,Path,shortWalkDist,walk_transit,util/sec,Nonwork,0
