model,variableType,variable,alternative,units,latentClass,value
modeChoice,Path,longWalkDist,bike,util/sec,work,0
modeChoice,Path,longWalkDist,bike,util/sec,Work,0
modeChoice,Path,longWalkDist,bike,util/sec,univ,0
modeChoice,Path,longWalkDist,bike,util/sec,school,0
modeChoice,Path,longWalkDist,bike,util/sec,escort,0
modeChoice,Path,longWalkDist,bike,util/sec,shopping,0
modeChoice,Path,longWalkDist,bike,util/sec,eatout,0
modeChoice,Path,longWalkDist,bike,util/sec,othmaint,0
modeChoice,Path,longWalkDist,bike,util/sec,social,0
modeChoice,Path,longWalkDist,bike,util/sec,othdiscr,0
modeChoice,Path,longWalkDist,bike,util/sec,atwork,0
modeChoice,Path,longWalkDist,bike,util/sec,Nonwork,0
modeChoice,Path,longWalkDist,car,util/sec,work,0
modeChoice,Path,longWalkDist,car,util/sec,Work,0
modeChoice,Path,longWalkDist,car,util/sec,univ,0
modeChoice,Path,longWalkDist,car,util/sec,school,0
modeChoice,Path,longWalkDist,car,util/sec,escort,0
modeChoice,Path,longWalkDist,car,util/sec,shopping,0
modeChoice,Path,longWalkDist,car,util/sec,eatout,0
modeChoice,Path,longWalkDist,car,util/sec,othmaint,0
modeChoice,Path,longWalkDist,car,util/sec,social,0
modeChoice,Path,longWalkDist,car,util/sec,othdiscr,0
modeChoice,Path,longWalkDist,car,util/sec,atwork,0
modeChoice,Path,longWalkDist,car,util/sec,Nonwork,0
modeChoice,Path,longWalkDist,drive_transit,util/sec,work,0
modeChoice,Path,longWalkDist,drive_transit,util/sec,Work,0
modeChoice,Path,longWalkDist,drive_transit,util/sec,univ,0
modeChoice,Path,longWalkDist,drive_transit,util/sec,school,0
modeChoice,Path,longWalkDist,drive_transit,util/sec,escort,0
modeChoice,Path,longWalkDist,drive_transit,util/sec,shopping,0
modeChoice,Path,longWalkDist,drive_transit,util/sec,eatout,0
modeChoice,Path,longWalkDist,drive_transit,util/sec,othmaint,0
modeChoice,Path,longWalkDist,drive_transit,util/sec,social,0
modeChoice,Path,longWalkDist,drive_transit,util/sec,othdiscr,0
modeChoice,Path,longWalkDist,drive_transit,util/sec,atwork,0
modeChoice,Path,longWalkDist,drive_transit,util/sec,Nonwork,0
modeChoice,Path,longWalkDist,ride_hail,util/sec,work,0
modeChoice,Path,longWalkDist,ride_hail,util/sec,Work,0
modeChoice,Path,longWalkDist,ride_hail,util/sec,univ,0
modeChoice,Path,longWalkDist,ride_hail,util/sec,school,0
modeChoice,Path,longWalkDist,ride_hail,util/sec,escort,0
modeChoice,Path,longWalkDist,ride_hail,util/sec,shopping,0
modeChoice,Path,longWalkDist,ride_hail,util/sec,eatout,0
modeChoice,Path,longWalkDist,ride_hail,util/sec,othmaint,0
modeChoice,Path,longWalkDist,ride_hail,util/sec,social,0
modeChoice,Path,longWalkDist,ride_hail,util/sec,othdiscr,0
modeChoice,Path,longWalkDist,ride_hail,util/sec,atwork,0
modeChoice,Path,longWalkDist,ride_hail,util/sec,Nonwork,0
modeChoice,Path,longWalkDist,walk,util/sec,work,-4.4
modeChoice,Path,longWalkDist,walk,util/sec,Work,-4.4
modeChoice,Path,longWalkDist,walk,util/sec,univ,-5.42
modeChoice,Path,longWalkDist,walk,util/sec,school,-5.42
modeChoice,Path,longWalkDist,walk,util/sec,escort,-5.58
modeChoice,Path,longWalkDist,walk,util/sec,shopping,-5.58
modeChoice,Path,longWalkDist,walk,util/sec,eatout,-5.58
modeChoice,Path,longWalkDist,walk,util/sec,othmaint,-5.58
modeChoice,Path,longWalkDist,walk,util/sec,social,-5.58
modeChoice,Path,longWalkDist,walk,util/sec,othdiscr,-5.58
modeChoice,Path,longWalkDist,walk,util/sec,atwork,-5.58
modeChoice,Path,longWalkDist,walk,util/sec,Nonwork,-5.58
modeChoice,Path,longWalkDist,walk_transit,util/sec,work,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,Work,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,univ,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,school,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,escort,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,shopping,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,eatout,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,othmaint,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,social,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,othdiscr,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,atwork,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,Nonwork,0
modeChoice,Path,shortBikeDist,bike,util/sec,work,-0.44
modeChoice,Path,shortBikeDist,bike,util/sec,Work,-0.44
modeChoice,Path,shortBikeDist,bike,util/sec,univ,-0.542
modeChoice,Path,shortBikeDist,bike,util/sec,school,-0.542
modeChoice,Path,shortBikeDist,bike,util/sec,escort,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,shopping,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,eatout,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,othmaint,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,social,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,othdiscr,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,atwork,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,Nonwork,-0.558
modeChoice,Path,shortBikeDist,car,util/sec,work,0
modeChoice,Path,shortBikeDist,car,util/sec,Work,0
modeChoice,Path,shortBikeDist,car,util/sec,univ,0
modeChoice,Path,shortBikeDist,car,util/sec,school,0
modeChoice,Path,shortBikeDist,car,util/sec,escort,0
modeChoice,Path,shortBikeDist,car,util/sec,shopping,0
modeChoice,Path,shortBikeDist,car,util/sec,eatout,0
modeChoice,Path,shortBikeDist,car,util/sec,othmaint,0
modeChoice,Path,shortBikeDist,car,util/sec,social,0
modeChoice,Path,shortBikeDist,car,util/sec,othdiscr,0
modeChoice,Path,shortBikeDist,car,util/sec,atwork,0
modeChoice,Path,shortBikeDist,car,util/sec,Nonwork,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,work,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,Work,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,univ,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,school,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,escort,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,shopping,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,eatout,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,othmaint,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,social,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,othdiscr,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,atwork,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,Nonwork,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,work,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,Work,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,univ,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,school,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,escort,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,shopping,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,eatout,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,othmaint,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,social,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,othdiscr,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,atwork,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,Nonwork,0
modeChoice,Path,shortBikeDist,walk,util/sec,work,0
modeChoice,Path,shortBikeDist,walk,util/sec,Work,0
modeChoice,Path,shortBikeDist,walk,util/sec,univ,0
modeChoice,Path,shortBikeDist,walk,util/sec,school,0
modeChoice,Path,shortBikeDist,walk,util/sec,escort,0
modeChoice,Path,shortBikeDist,walk,util/sec,shopping,0
modeChoice,Path,shortBikeDist,walk,util/sec,eatout,0
modeChoice,Path,shortBikeDist,walk,util/sec,othmaint,0
modeChoice,Path,shortBikeDist,walk,util/sec,social,0
modeChoice,Path,shortBikeDist,walk,util/sec,othdiscr,0
modeChoice,Path,shortBikeDist,walk,util/sec,atwork,0
modeChoice,Path,shortBikeDist,walk,util/sec,Nonwork,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,work,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,Work,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,univ,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,school,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,escort,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,shopping,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,eatout,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,othmaint,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,social,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,othdiscr,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,atwork,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,Nonwork,0
modeChoice,Path,longBikeDist,bike,util/sec,work,-2.2
modeChoice,Path,longBikeDist,bike,util/sec,Work,-2.2
modeChoice,Path,longBikeDist,bike,util/sec,univ,-2.71
modeChoice,Path,longBikeDist,bike,util/sec,school,-2.71
modeChoice,Path,longBikeDist,bike,util/sec,escort,-2.79
modeChoice,Path,longBikeDist,bike,util/sec,shopping,-2.79
modeChoice,Path,longBikeDist,bike,util/sec,eatout,-2.79
modeChoice,Path,longBikeDist,bike,util/sec,othmaint,-2.79
modeChoice,Path,longBikeDist,bike,util/sec,social,-2.79
modeChoice,Path,longBikeDist,bike,util/sec,othdiscr,-2.79
modeChoice,Path,longBikeDist,bike,util/sec,atwork,-2.79
modeChoice,Path,longBikeDist,bike,util/sec,Nonwork,-2.79
modeChoice,Path,longBikeDist,car,util/sec,work,0
modeChoice,Path,longBikeDist,car,util/sec,Work,0
modeChoice,Path,longBikeDist,car,util/sec,univ,0
modeChoice,Path,longBikeDist,car,util/sec,school,0
modeChoice,Path,longBikeDist,car,util/sec,escort,0
modeChoice,Path,longBikeDist,car,util/sec,shopping,0
modeChoice,Path,longBikeDist,car,util/sec,eatout,0
modeChoice,Path,longBikeDist,car,util/sec,othmaint,0
modeChoice,Path,longBikeDist,car,util/sec,social,0
modeChoice,Path,longBikeDist,car,util/sec,othdiscr,0
modeChoice,Path,longBikeDist,car,util/sec,atwork,0
modeChoice,Path,longBikeDist,car,util/sec,Nonwork,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,work,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,Work,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,univ,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,school,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,escort,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,shopping,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,eatout,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,othmaint,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,social,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,othdiscr,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,atwork,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,Nonwork,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,work,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,Work,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,univ,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,school,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,escort,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,shopping,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,eatout,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,othmaint,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,social,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,othdiscr,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,atwork,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,Nonwork,0
modeChoice,Path,longBikeDist,walk,util/sec,work,0
modeChoice,Path,longBikeDist,walk,util/sec,Work,0
modeChoice,Path,longBikeDist,walk,util/sec,univ,0
modeChoice,Path,longBikeDist,walk,util/sec,school,0
modeChoice,Path,longBikeDist,walk,util/sec,escort,0
modeChoice,Path,longBikeDist,walk,util/sec,shopping,0
modeChoice,Path,longBikeDist,walk,util/sec,eatout,0
modeChoice,Path,longBikeDist,walk,util/sec,othmaint,0
modeChoice,Path,longBikeDist,walk,util/sec,social,0
modeChoice,Path,longBikeDist,walk,util/sec,othdiscr,0
modeChoice,Path,longBikeDist,walk,util/sec,atwork,0
modeChoice,Path,longBikeDist,walk,util/sec,Nonwork,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,work,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,Work,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,univ,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,school,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,escort,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,shopping,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,eatout,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,othmaint,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,social,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,othdiscr,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,atwork,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,Nonwork,0
modeChoice,Path,egressTime,bike,util/sec,work,0
modeChoice,Path,egressTime,bike,util/sec,Work,0
modeChoice,Path,egressTime,bike,util/sec,univ,0
modeChoice,Path,egressTime,bike,util/sec,school,0
modeChoice,Path,egressTime,bike,util/sec,escort,0
modeChoice,Path,egressTime,bike,util/sec,shopping,0
modeChoice,Path,egressTime,bike,util/sec,eatout,0
modeChoice,Path,egressTime,bike,util/sec,othmaint,0
modeChoice,Path,egressTime,bike,util/sec,social,0
modeChoice,Path,egressTime,bike,util/sec,othdiscr,0
modeChoice,Path,egressTime,bike,util/sec,atwork,0
modeChoice,Path,egressTime,bike,util/sec,Nonwork,0
modeChoice,Path,egressTime,car,util/sec,work,0
modeChoice,Path,egressTime,car,util/sec,Work,0
modeChoice,Path,egressTime,car,util/sec,univ,0
modeChoice,Path,egressTime,car,util/sec,school,0
modeChoice,Path,egressTime,car,util/sec,escort,0
modeChoice,Path,egressTime,car,util/sec,shopping,0
modeChoice,Path,egressTime,car,util/sec,eatout,0
modeChoice,Path,egressTime,car,util/sec,othmaint,0
modeChoice,Path,egressTime,car,util/sec,social,0
modeChoice,Path,egressTime,car,util/sec,othdiscr,0
modeChoice,Path,egressTime,car,util/sec,atwork,0
modeChoice,Path,egressTime,car,util/sec,Nonwork,0
modeChoice,Path,egressTime,drive_transit,util/sec,work,-0.044
modeChoice,Path,egressTime,drive_transit,util/sec,Work,-0.044
modeChoice,Path,egressTime,drive_transit,util/sec,univ,-0.054
modeChoice,Path,egressTime,drive_transit,util/sec,school,-0.054
modeChoice,Path,egressTime,drive_transit,util/sec,escort,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,shopping,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,eatout,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,othmaint,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,social,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,othdiscr,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,atwork,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,Nonwork,-0.056
modeChoice,Path,egressTime,ride_hail,util/sec,work,0
modeChoice,Path,egressTime,ride_hail,util/sec,Work,0
modeChoice,Path,egressTime,ride_hail,util/sec,univ,0
modeChoice,Path,egressTime,ride_hail,util/sec,school,0
modeChoice,Path,egressTime,ride_hail,util/sec,escort,0
modeChoice,Path,egressTime,ride_hail,util/sec,shopping,0
modeChoice,Path,egressTime,ride_hail,util/sec,eatout,0
modeChoice,Path,egressTime,ride_hail,util/sec,othmaint,0
modeChoice,Path,egressTime,ride_hail,util/sec,social,0
modeChoice,Path,egressTime,ride_hail,util/sec,othdiscr,0
modeChoice,Path,egressTime,ride_hail,util/sec,atwork,0
modeChoice,Path,egressTime,ride_hail,util/sec,Nonwork,0
modeChoice,Path,egressTime,walk,util/sec,work,0
modeChoice,Path,egressTime,walk,util/sec,Work,0
modeChoice,Path,egressTime,walk,util/sec,univ,0
modeChoice,Path,egressTime,walk,util/sec,school,0
modeChoice,Path,egressTime,walk,util/sec,escort,0
modeChoice,Path,egressTime,walk,util/sec,shopping,0
modeChoice,Path,egressTime,walk,util/sec,eatout,0
modeChoice,Path,egressTime,walk,util/sec,othmaint,0
modeChoice,Path,egressTime,walk,util/sec,social,0
modeChoice,Path,egressTime,walk,util/sec,othdiscr,0
modeChoice,Path,egressTime,walk,util/sec,atwork,0
modeChoice,Path,egressTime,walk,util/sec,Nonwork,0
modeChoice,Path,egressTime,walk_transit,util/sec,work,0
modeChoice,Path,egressTime,walk_transit,util/sec,Work,0
modeChoice,Path,egressTime,walk_transit,util/sec,univ,0
modeChoice,Path,egressTime,walk_transit,util/sec,school,0
modeChoice,Path,egressTime,walk_transit,util/sec,escort,0
modeChoice,Path,egressTime,walk_transit,util/sec,shopping,0
modeChoice,Path,egressTime,walk_transit,util/sec,eatout,0
modeChoice,Path,egressTime,walk_transit,util/sec,othmaint,0
modeChoice,Path,egressTime,walk_transit,util/sec,social,0
modeChoice,Path,egressTime,walk_transit,util/sec,othdiscr,0
modeChoice,Path,egressTime,walk_transit,util/sec,atwork,0
modeChoice,Path,egressTime,walk_transit,util/sec,Nonwork,0
