coefficient_name,value,constrain
coef_nest_root,1,T
coef_nest_AUTO,0.72,T
coef_nest_AUTO_DRIVEALONE,0.35,T
coef_nest_AUTO_SHAREDRIDE2,0.35,T
coef_nest_AUTO_SHAREDRIDE3,0.35,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
coef_nest_TRANSIT_WALKACCESS,0.5,T
coef_nest_TRANSIT_DRIVEACCESS,0.5,T
coef_nest_RIDEHAIL,0.36,T
coef_ivt_eatout_escort_othdiscr_othmaint_shopping_social,-0.0175,F
coef_ivt_school_univ,-0.0224,F
coef_ivt_work,-0.0134,F
coef_ivt_atwork,-0.0188,F
coef_topology_walk_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,15,F
coef_topology_walk_multiplier_atwork,7.5,F
coef_topology_bike_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,20,F
coef_topology_bike_multiplier_atwork,10,F
coef_topology_trn_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,2.2,F
coef_topology_trn_multiplier_atwork,2,F
coef_age1619_da_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0,F
coef_age1619_da_multiplier_school_univ,-1.3813,F
coef_age1619_da_multiplier_atwork,0.0032336,F
coef_age010_trn_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0,F
coef_age010_trn_multiplier_school_univ,-1.5548,F
coef_age010_trn_multiplier_atwork,0.000722,F
coef_age16p_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social,-1.366,F
coef_age16p_sr_multiplier_school_univ_work_atwork,0,F
coef_hhsize1_sr_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_atwork,0,F
coef_hhsize1_sr_multiplier_work,-0.734588,F
coef_hhsize2_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work_atwork,0,F
coef_hhsize2_sr_multiplier_school_univ,-0.6359,F
walk_ASC_no_auto_eatout,3.362492298,F
walk_ASC_no_auto_escort,1.038581798,F
walk_ASC_no_auto_othdiscr,1.503969598,F
walk_ASC_no_auto_othmaint,-0.475326002,F
walk_ASC_no_auto_school,18.414557,F
walk_ASC_no_auto_shopping,0.614252298,F
walk_ASC_no_auto_social,0.105466498,F
walk_ASC_no_auto_univ,6.252541797,F
walk_ASC_no_auto_work,4.112695876,F
walk_ASC_no_auto_atwork,4.906587998,F
walk_ASC_auto_deficient_eatout,1.511979998,F
walk_ASC_auto_deficient_escort,-2.664671562,F
walk_ASC_auto_deficient_othdiscr,0.486782498,F
walk_ASC_auto_deficient_othmaint,-0.393584602,F
walk_ASC_auto_deficient_school,3.2573624,F
walk_ASC_auto_deficient_shopping,0.507548298,F
walk_ASC_auto_deficient_social,1.107558998,F
walk_ASC_auto_deficient_univ,4.349484797,F
walk_ASC_auto_deficient_work,0.746521876,F
walk_ASC_auto_deficient_atwork,-0.837164072,F
walk_ASC_auto_sufficient_eatout,-0.210934702,F
walk_ASC_auto_sufficient_escort,-2.574231602,F
walk_ASC_auto_sufficient_othdiscr,-0.499277402,F
walk_ASC_auto_sufficient_othmaint,-0.962661602,F
walk_ASC_auto_sufficient_school,0.6476856,F
walk_ASC_auto_sufficient_shopping,-1.031358702,F
walk_ASC_auto_sufficient_social,-0.055406402,F
walk_ASC_auto_sufficient_univ,0.904341297,F
walk_ASC_auto_sufficient_work,-1.601254487,F
walk_ASC_auto_sufficient_atwork,-1.085409002,F
bike_ASC_no_auto_eatout,-0.894554042,F
bike_ASC_no_auto_escort,-2.478837002,F
bike_ASC_no_auto_othdiscr,-2.139048202,F
bike_ASC_no_auto_othmaint,-0.223191602,F
bike_ASC_no_auto_school,12.098735,F
bike_ASC_no_auto_shopping,-0.928469502,F
bike_ASC_no_auto_social,-1.742041792,F
bike_ASC_no_auto_univ,4.138090397,F
bike_ASC_no_auto_work,1.539488976,F
bike_ASC_no_auto_atwork,-2.669883452,F
bike_ASC_auto_deficient_eatout,-3.331735602,F
bike_ASC_auto_deficient_escort,-6.290553002,F
bike_ASC_auto_deficient_othdiscr,-1.855093342,F
bike_ASC_auto_deficient_othmaint,-3.281089902,F
bike_ASC_auto_deficient_school,-0.5280678,F
bike_ASC_auto_deficient_shopping,-2.638469662,F
bike_ASC_auto_deficient_social,-1.128103602,F
bike_ASC_auto_deficient_univ,-0.825660203,F
bike_ASC_auto_deficient_work,-1.401330144,F
bike_ASC_auto_deficient_atwork,-2.570033302,F
bike_ASC_auto_sufficient_eatout,-2.962972102,F
bike_ASC_auto_sufficient_escort,-6.825733402,F
bike_ASC_auto_sufficient_othdiscr,-2.834084702,F
bike_ASC_auto_sufficient_othmaint,-4.570927402,F
bike_ASC_auto_sufficient_school,-2.1134686,F
bike_ASC_auto_sufficient_shopping,-4.328835302,F
bike_ASC_auto_sufficient_social,-3.130696002,F
bike_ASC_auto_sufficient_univ,-2.096208403,F
bike_ASC_auto_sufficient_work,-3.234543024,F
bike_ASC_auto_sufficient_atwork,13.95754499,F
sr2_ASC_no_auto_all,0.364520226,F
sr2_ASC_auto_deficient_eatout,0.952754726,F
sr2_ASC_auto_deficient_escort,0.364520226,F
sr2_ASC_auto_deficient_othdiscr,1.024671526,F
sr2_ASC_auto_deficient_othmaint,0.626672926,F
sr2_ASC_auto_deficient_school,0.12474365,F
sr2_ASC_auto_deficient_shopping,0.608617786,F
sr2_ASC_auto_deficient_social,2.220373026,F
sr2_ASC_auto_deficient_univ,-1.014712068,F
sr2_ASC_auto_deficient_work,-0.967382088,F
sr2_ASC_auto_deficient_atwork,-1.745721874,F
sr2_ASC_auto_sufficient_eatout,1.227325776,F
sr2_ASC_auto_sufficient_escort,0.364520226,F
sr2_ASC_auto_sufficient_othdiscr,0.861366396,F
sr2_ASC_auto_sufficient_othmaint,0.622699056,F
sr2_ASC_auto_sufficient_school,-1.6062657,F
sr2_ASC_auto_sufficient_shopping,0.562227296,F
sr2_ASC_auto_sufficient_social,0.888122726,F
sr2_ASC_auto_sufficient_univ,-1.181904468,F
sr2_ASC_auto_sufficient_work,-1.715096658,F
sr2_ASC_auto_sufficient_atwork,-1.080541574,F
sr3p_ASC_no_auto_eatout,1.076342192,F
sr3p_ASC_no_auto_escort,-1.058584308,F
sr3p_ASC_no_auto_othdiscr,1.026511412,F
sr3p_ASC_no_auto_othmaint,-0.048843008,F
sr3p_ASC_no_auto_school,-6.0240827,F
sr3p_ASC_no_auto_shopping,0.474552912,F
sr3p_ASC_no_auto_social,-0.649347808,F
sr3p_ASC_no_auto_univ,-5.88868925,F
sr3p_ASC_no_auto_work,-1.00862845,F
sr3p_ASC_no_auto_atwork,1.337004992,F
sr3p_ASC_auto_deficient_eatout,0.800394752,F
sr3p_ASC_auto_deficient_escort,0.346154732,F
sr3p_ASC_auto_deficient_othdiscr,1.801438992,F
sr3p_ASC_auto_deficient_othmaint,-0.595050108,F
sr3p_ASC_auto_deficient_school,0.7149571,F
sr3p_ASC_auto_deficient_shopping,0.680972226,F
sr3p_ASC_auto_deficient_social,2.255066692,F
sr3p_ASC_auto_deficient_univ,-1.56043045,F
sr3p_ASC_auto_deficient_work,-1.27820575,F
sr3p_ASC_auto_deficient_atwork,-1.760315608,F
sr3p_ASC_auto_sufficient_eatout,1.601201992,F
sr3p_ASC_auto_sufficient_escort,0.696929862,F
sr3p_ASC_auto_sufficient_othdiscr,1.342844442,F
sr3p_ASC_auto_sufficient_othmaint,0.678843722,F
sr3p_ASC_auto_sufficient_school,-1.0201935,F
sr3p_ASC_auto_sufficient_shopping,0.676771097,F
sr3p_ASC_auto_sufficient_social,1.260521252,F
sr3p_ASC_auto_sufficient_univ,-1.73739805,F
sr3p_ASC_auto_sufficient_work,-1.89547175,F
sr3p_ASC_auto_sufficient_atwork,-0.897831608,F
walk_transit_ASC_no_auto_eatout,-5.661471887,F
walk_transit_ASC_no_auto_escort,-10.47231679,F
walk_transit_ASC_no_auto_othdiscr,-6.011330187,F
walk_transit_ASC_no_auto_othmaint,-5.690763087,F
walk_transit_ASC_no_auto_school,21.383749,F
walk_transit_ASC_no_auto_shopping,-6.148361087,F
walk_transit_ASC_no_auto_social,-6.873643587,F
walk_transit_ASC_no_auto_univ,7.417405865,F
walk_transit_ASC_no_auto_work,1.647826737,F
walk_transit_ASC_no_auto_atwork,-5.550921087,F
walk_transit_ASC_auto_deficient_eatout,-8.294071927,F
walk_transit_ASC_auto_deficient_escort,-13.21581269,F
walk_transit_ASC_auto_deficient_othdiscr,-7.302020287,F
walk_transit_ASC_auto_deficient_othmaint,-11.31483449,F
walk_transit_ASC_auto_deficient_school,4.120708,F
walk_transit_ASC_auto_deficient_shopping,-9.102765587,F
walk_transit_ASC_auto_deficient_social,-7.280663817,F
walk_transit_ASC_auto_deficient_univ,1.767624365,F
walk_transit_ASC_auto_deficient_work,-2.734561313,F
walk_transit_ASC_auto_deficient_atwork,-11.25393779,F
walk_transit_ASC_auto_sufficient_eatout,-9.367799287,F
walk_transit_ASC_auto_sufficient_escort,-13.18995569,F
walk_transit_ASC_auto_sufficient_othdiscr,-9.061476617,F
walk_transit_ASC_auto_sufficient_othmaint,-9.802225887,F
walk_transit_ASC_auto_sufficient_school,0.74590874,F
walk_transit_ASC_auto_sufficient_shopping,-10.45878849,F
walk_transit_ASC_auto_sufficient_social,-8.600484587,F
walk_transit_ASC_auto_sufficient_univ,-0.895514835,F
walk_transit_ASC_auto_sufficient_work,-4.279240563,F
walk_transit_ASC_auto_sufficient_atwork,-11.65613569,F
drive_transit_ASC_no_auto_all,-4.065811723,F
drive_transit_ASC_auto_deficient_eatout,-3.466005623,F
drive_transit_ASC_auto_deficient_escort,-5.219518423,F
drive_transit_ASC_auto_deficient_othdiscr,-3.745880923,F
drive_transit_ASC_auto_deficient_othmaint,-4.365244003,F
drive_transit_ASC_auto_deficient_school,5.3252654,F
drive_transit_ASC_auto_deficient_shopping,-4.484303503,F
drive_transit_ASC_auto_deficient_social,-2.503092223,F
drive_transit_ASC_auto_deficient_univ,1.572551142,F
drive_transit_ASC_auto_deficient_work,-2.356106415,F
drive_transit_ASC_auto_deficient_atwork,-1002.885411,F
drive_transit_ASC_auto_sufficient_eatout,-5.035327583,F
drive_transit_ASC_auto_sufficient_escort,-8.667236423,F
drive_transit_ASC_auto_sufficient_othdiscr,-4.444403423,F
drive_transit_ASC_auto_sufficient_othmaint,-6.690759523,F
drive_transit_ASC_auto_sufficient_school,1.40135,F
drive_transit_ASC_auto_sufficient_shopping,-6.237705523,F
drive_transit_ASC_auto_sufficient_social,-4.681667473,F
drive_transit_ASC_auto_sufficient_univ,1.081208842,F
drive_transit_ASC_auto_sufficient_work,-3.461467985,F
drive_transit_ASC_auto_sufficient_atwork,-1003.280471,F
taxi_ASC_no_auto_eatout_othdiscr_social,0.9923,F
taxi_ASC_no_auto_escort_othmaint_shopping,1.8939,F
taxi_ASC_no_auto_school_univ,-7,T
taxi_ASC_no_auto_work,4.7291,F
taxi_ASC_no_auto_atwork,4.1021,F
taxi_ASC_auto_deficient_eatout_othdiscr_social,-3.1317,F
taxi_ASC_auto_deficient_escort_othmaint_shopping,0.1766,F
taxi_ASC_auto_deficient_school,-0.3338,F
taxi_ASC_auto_deficient_univ,4.2492,F
taxi_ASC_auto_deficient_work,-1.4766,F
taxi_ASC_auto_deficient_atwork,-4.4046,F
taxi_ASC_auto_sufficient_eatout_othdiscr_social,-3.0374,F
taxi_ASC_auto_sufficient_escort_othmaint_shopping,-1.8055,F
taxi_ASC_auto_sufficient_school,-2.4294,F
taxi_ASC_auto_sufficient_univ,-0.3131,F
taxi_ASC_auto_sufficient_work,-4.8509,F
taxi_ASC_auto_sufficient_atwork,-2.8804,F
tnc_single_ASC_no_auto_eatout_othdiscr_social,1.6852,F
tnc_single_ASC_no_auto_escort_othmaint_shopping,1.8605,F
tnc_single_ASC_no_auto_school,-7,T
tnc_single_ASC_no_auto_univ,-2.519,F
tnc_single_ASC_no_auto_work,5.7855,F
tnc_single_ASC_no_auto_atwork,4.4982,F
tnc_single_ASC_auto_deficient_eatout_othdiscr_social,-2.9623,F
tnc_single_ASC_auto_deficient_escort_othmaint_shopping,0.6748,F
tnc_single_ASC_auto_deficient_school,-0.5524,F
tnc_single_ASC_auto_deficient_univ,1.0221,F
tnc_single_ASC_auto_deficient_work,-0.8013,F
tnc_single_ASC_auto_deficient_atwork,-3.7626,F
tnc_single_ASC_auto_sufficient_eatout_othdiscr_social,-2.3239,F
tnc_single_ASC_auto_sufficient_escort_othmaint_shopping,-1.45,F
tnc_single_ASC_auto_sufficient_school,-2.8375,F
tnc_single_ASC_auto_sufficient_univ,0.2088,F
tnc_single_ASC_auto_sufficient_work,-4.1946,F
tnc_single_ASC_auto_sufficient_atwork,-2.7988,F
tnc_shared_ASC_no_auto_eatout_othdiscr_social,0.6464,F
tnc_shared_ASC_no_auto_escort_othmaint_shopping,0.9361,F
tnc_shared_ASC_no_auto_school,-7,T
tnc_shared_ASC_no_auto_univ,-5.8116,F
tnc_shared_ASC_no_auto_work,3.2429,F
tnc_shared_ASC_no_auto_atwork,3.3672,F
tnc_shared_ASC_auto_deficient_eatout_othdiscr_social,-4.3576,F
tnc_shared_ASC_auto_deficient_escort_othmaint_shopping,-0.3863,F
tnc_shared_ASC_auto_deficient_school,-1.4746,F
tnc_shared_ASC_auto_deficient_univ,3.25,F
tnc_shared_ASC_auto_deficient_work,-2.1435,F
tnc_shared_ASC_auto_deficient_atwork,-4.5089,F
tnc_shared_ASC_auto_sufficient_eatout_othdiscr_social,-3.6638,F
tnc_shared_ASC_auto_sufficient_escort_othmaint_shopping,-2.4365,F
tnc_shared_ASC_auto_sufficient_school,-3.7219,F
tnc_shared_ASC_auto_sufficient_univ,-0.9068,F
tnc_shared_ASC_auto_sufficient_work,-5.3575,F
tnc_shared_ASC_auto_sufficient_atwork,-3.5397,F
joint_walk_ASC_no_auto_all,-0.21274701,F
joint_walk_ASC_auto_deficient_all,-1.9607706,F
joint_walk_ASC_auto_sufficient_all,-3.2352157,F
joint_bike_ASC_no_auto_all,-2.8671598,F
joint_bike_ASC_auto_deficient_all,-6.076415,F
joint_bike_ASC_auto_sufficient_all,-6.3760657,F
joint_sr2_ASC_no_auto_all,0,T
joint_sr2_ASC_auto_deficient_all,0,T
joint_sr2_ASC_auto_sufficient_all,0,T
joint_sr3p_ASC_no_auto_all,0.5630671,F
joint_sr3p_ASC_auto_deficient_all,-1.8841692,F
joint_sr3p_ASC_auto_sufficient_all,-2.234826,F
joint_walk_transit_ASC_no_auto_all,0.62292415,F
joint_walk_transit_ASC_auto_deficient_all,-5.1634483,F
joint_walk_transit_ASC_auto_sufficient_all,-18.264534,F
joint_drive_transit_ASC_no_auto_all,0,T
joint_drive_transit_ASC_auto_deficient_all,-5.9632215,F
joint_drive_transit_ASC_auto_sufficient_all,-8.045285,F
joint_taxi_ASC_no_auto_all,-4.5792,F
joint_taxi_ASC_auto_deficient_all,-9.8157,F
joint_taxi_ASC_auto_sufficient_all,-11.7099,T
joint_tnc_single_ASC_no_auto_all,-4.4917,F
joint_tnc_single_ASC_auto_deficient_all,-9.8961,F
joint_tnc_single_ASC_auto_sufficient_all,-14.0159,T
joint_tnc_shared_ASC_no_auto_all,-4.3002,F
joint_tnc_shared_ASC_auto_deficient_all,-11.1572,F
joint_tnc_shared_ASC_auto_sufficient_all,-13.205,T
local_bus_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-10.82081416,F
local_bus_ASC_school_univ,-3.489191884,F
local_bus_ASC_work,-1.78474394,F
walk_light_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-5.564153077,F
walk_light_rail_ASC_school_univ,-1.408998228,F
walk_light_rail_ASC_work,-4.000859336,F
drive_light_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-4.063646649,F
drive_light_rail_ASC_school_univ,6.515754806,F
drive_light_rail_ASC_work,-1.785498149,F
#walk_ferry_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.9401238,F
#walk_ferry_ASC_school_univ,2.0202317,F
#walk_ferry_ASC_work,0.93322605,F
#drive_ferry_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.9401238,F
#drive_ferry_ASC_school_univ,2.0202317,F
#drive_ferry_ASC_work,0.93322605,F
express_bus_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-48.02041208,F
express_bus_ASC_school_univ,-1.12007173,F
express_bus_ASC_work,0.48465726,F
heavy_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,0.7706121,F
heavy_rail_ASC_school_univ,0.96200377,F
heavy_rail_ASC_work,0.64772975,F
commuter_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,-4.079416538,F
commuter_rail_ASC_school_univ,0.143865839,F
commuter_rail_ASC_work,-0.136734334,F
walk_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,0.525,F
walk_transit_CBD_ASC_school_univ,0.672,F
walk_transit_CBD_ASC_work,0.804,F
walk_transit_CBD_ASC_atwork,0.564,F
drive_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,0.525,F
drive_transit_CBD_ASC_school_univ,0.672,F
drive_transit_CBD_ASC_work,1.1,F
drive_transit_CBD_ASC_atwork,0.564,F
